"What term describes the symbols or keywords used in Python to perform calculations, comparisons, and logical decisions?",Operators
"Which category of operators includes symbols like $+$, $-$, $*$, and $/$?",Arithmetic operators
"In Python, what is the specific function of the floor division operator ($//$)?",It divides two numbers and rounds the result down to the nearest whole number.
What is the purpose of the modulus operator ($\%$) in Python arithmetic?,It returns the remainder of a division operation.
Which arithmetic operator is used to calculate the exponent or power of a number?,The double asterisk ($**$).
What data type is always returned by comparison (relational) operators?,Boolean (True or False).
Identify the comparison operator used to check if two values are not equal.,$!=$
Which logical operator returns True only if both conditions being compared are True?,The `and` operator.
How does the `not` logical operator affect a Boolean result?,"It inverts the result, turning True to False and vice versa."
"In Python assignment, what does the expression $a += 5$ shorthand for?",$a = a + 5$
Which category of operators works directly on the binary representations of numbers?,Bitwise operators
What is the result of the bitwise AND ($\&$) operation between $5$ (binary $0101$) and $3$ (binary $0011$)?,$1$ (binary $0001$).
Which membership operator is used to verify if a value exists within a sequence like a list or string?,The `in` operator.
What is the primary difference between the `==` operator and the `is` operator?,"`==` compares values, while `is` compares memory locations (object identity)."
"According to Python's operator precedence, which operation is performed first: addition or multiplication?",Multiplication
"In the order of evaluation, which symbol has the highest priority?",Parentheses $()$
Define a Python Dictionary.,An unordered collection of unique key-value pairs.
Which symbol is used to define a dictionary in Python?,Curly braces $\{ \}$.
What is the result of using the `.get()` method on a dictionary if the specified key does not exist?,It returns `None` (or a specified default) rather than raising an error.
Which dictionary method is used to remove a specific key and return its associated value?,The `.pop()` method.
How can you retrieve all the values stored in a dictionary as a view object?,By using the `.values()` method.
Which method merges the contents of one dictionary into another?,The `.update()` method.
What are the two defining characteristics of a Python Set?,It is an unordered collection and contains only unique elements.
What is the correct syntax to create an empty set?,`set()`
"In set theory operations, what does the pipe symbol ($|$) represent?",The Union of two sets.
"Which set operation, represented by the ampersand ($\&$), returns elements common to both sets?",Intersection
What does the symmetric difference operator ($^$) do?,"It returns elements present in either of the sets, but not in both."
"Between `.remove()` and `.discard()`, which set method will raise an error if the element is not found?",The `.remove()` method.
Why is a dictionary considered an 'indexed' collection while a set is not?,"Dictionaries are indexed by their keys, whereas sets have no indices or defined order."
What is the essential syntactic requirement in Python for defining code blocks under conditional statements?,Indentation
Which keyword is used to check multiple distinct conditions sequentially after an initial `if` statement?,The `elif` keyword.
What is a 'Nested If' statement?,An `if` statement placed inside another `if` statement code block.
Provide an example of a conditional expression (short-form if-else).,"`result = ""A"" if score > 90 else ""B""`"
Which operator should be used in an `if` statement to check for exact equality: `=` or `==`?,The `==` comparison operator.
What is the fundamental difference between a `for` loop and a `while` loop?,"A `for` loop iterates over a sequence, while a `while` loop repeats as long as a condition is True."
What sequence of numbers is generated by `range(5)`?,"$0, 1, 2, 3, 4$"
"In the function `range(start, stop, step)`, what does the 'step' parameter define?",The increment value between each number in the sequence.
When does the `else` block associated with a `for` loop execute?,After the loop finishes all iterations naturally (without being interrupted by a `break`).
What is the risk of a `while` loop where the condition never becomes False?,It creates an infinite loop.
Which loop control keyword is used to exit the loop entirely and immediately?,The `break` keyword.
What is the effect of the `continue` statement inside a loop?,It skips the remainder of the current iteration and jumps to the next cycle of the loop.
What is the purpose of the `pass` statement in Python?,It acts as a null placeholder that does nothing when executed.
Which keyword is used to begin the definition of a user-defined function?,The `def` keyword.
What is the difference between a parameter and an argument?,A parameter is a variable listed in the function definition; an argument is the value sent to the function when called.
Which keyword is used to send a result back from a function to its caller?,The `return` keyword.
What happens if a function does not include a `return` statement?,It implicitly returns `None`.
How can you provide a value to a function parameter that is used if the caller provides no input?,"By setting a default argument in the function definition (e.g., `def func(name=""Guest""):`)."
Which built-in Python function is used to capture input from the user as a string?,The `input()` function.
What built-in function would you use to find the total number of items in a list?,The `len()` function.
Which built-in function returns the unique memory address identifier of an object?,The `id()` function.
"How do you convert a string ""10"" into an integer in Python?","Use the `int(""10"")` function."
Which built-in function provides the absolute value of a number?,The `abs()` function.
Which built-in function returns a list of all attributes and methods available for a specific object?,The `dir()` function.
What does the `round()` function do in Python?,It rounds a floating-point number to the nearest integer (or specified decimal places).
"In Python, which function converts a single character into its corresponding Unicode integer?",The `ord()` function.
What is the function of `chr(97)` in Python?,It returns the character represented by the Unicode integer $97$ (which is 'a').
What is the difference between a variable name and a string literal?,A variable name is a label for a memory location; a string literal is the actual text data enclosed in quotes.
Which data type would be best for storing a collection of unique email addresses to prevent duplicates?,A Set
"If you need to store student names alongside their specific exam marks, which data structure is most appropriate?",A Dictionary
"What is the output of the string slice `""Python""[1:4]`?","""yth"""
Which operator category includes `in` and `not in`?,Membership operators
Which arithmetic operator has lower precedence: exponentiation ($**$) or addition ($+$)?,Addition
True or False: A Python set can contain duplicate values.,False
"In a `while` loop, when is the condition checked?",Before each iteration of the loop body.
What is the purpose of the `type()` function?,To determine the data type of a given variable or value.
Which dictionary method returns a list of tuples containing the key-value pairs?,The `.items()` method.
What is the result of the logical expression `not(5 == 5)`?,False
Which bitwise operator is represented by the tilde symbol ($\sim$)?,The NOT operator (inverts bits).
What does the bitwise left shift ($<<$) operator effectively do to an integer?,It multiplies the number by $2$ for every shift position.
How do you add a single new element to an existing set?,Using the `.add()` method.
What keyword is used to handle the 'otherwise' case in an `if` statement?,The `else` keyword.
Can a function return multiple values at once in Python?,"Yes, it returns them as a single tuple."
Which built-in function returns the smallest value from a sequence or set of arguments?,The `min()` function.
What is the result of `bool(0)` in Python?,False
Which operator would you use to calculate $2$ to the power of $3$ ($2^3$)?,$2 ** 3$
